# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
0.831975 -8.045231 1.976546 6.043994 2.252158 -0.221203 -0.891562
0.842111 -8.263548 1.999937 6.257113 2.247793 -0.227993 -0.927939
0.852203 -8.429884 2.122090 6.293499 2.256766 -0.226053 -0.934729
0.862309 -8.588424 1.914170 6.288301 2.259191 -0.216110 -0.949037
0.872426 -8.513053 1.893378 6.659959 2.283200 -0.191374 -0.942004
0.882550 -8.580627 1.693254 6.808103 2.284655 -0.150875 -0.934486
0.892679 -8.445478 1.204640 6.662558 2.256766 -0.115469 -0.931091
0.902800 -8.435082 1.139665 6.654761 2.213114 -0.074970 -0.911448
0.912933 -8.328523 1.025309 6.553400 2.179648 -0.054114 -0.901020
0.923046 -7.910083 0.721225 6.511816 2.139876 -0.059691 -0.885499
0.933147 -7.949068 0.944740 6.581989 2.096952 -0.055084 -0.859793
0.943283 -7.860701 0.791398 6.374069 2.045782 -0.067937 -0.876284
0.953413 -8.024439 0.947339 6.452039 1.994855 -0.081760 -0.869979
0.963541 -8.089414 0.861571 6.478029 1.972302 -0.099948 -0.866584
0.973669 -8.162186 0.897957 6.405257 1.950718 -0.100918 -0.850093
0.983795 -8.182978 0.819987 6.267509 1.941503 -0.097038 -0.840393
0.993918 -8.201172 0.853774 6.522212 1.930590 -0.102858 -0.828025
1.004043 -8.237558 0.999319 6.439044 1.894213 -0.112316 -0.802803
1.014176 -8.253152 1.111076 6.496222 1.872387 -0.093643 -0.782433
1.024339 -8.679389 1.147462 6.420851 1.838436 -0.057024 -0.756727
1.034463 -8.707978 0.986324 6.423450 1.803515 -0.037623 -0.739993
1.044598 -8.819736 0.962933 6.322088 1.750647 -0.009734 -0.739023
1.054751 -8.617013 0.778403 6.085579 1.713543 0.006029 -0.730050
1.064914 -8.684587 0.931745 6.005009 1.656553 0.050651 -0.706284
1.075070 -8.635206 1.020111 5.937435 1.598351 0.081934 -0.702162
1.085213 -8.440280 1.300804 6.012806 1.544756 0.096243 -0.690036
1.095388 -8.427285 1.108477 6.002410 1.493344 0.086542 -0.678638
1.105544 -8.294736 1.347586 5.966024 1.442902 0.083632 -0.660208
1.115739 -8.359711 1.352784 5.745108 1.367239 0.094060 -0.659237
1.125889 -8.250553 1.238428 5.888054 1.315827 0.080722 -0.659723
1.136029 -8.349315 1.228032 6.064786 1.252289 0.084845 -0.653175
1.146153 -8.541642 0.916151 5.755504 1.187054 0.094302 -0.674516
1.156277 -8.663795 0.729022 5.908846 1.116726 0.102548 -0.682518
1.166409 -8.705379 0.528898 6.030999 1.052218 0.129951 -0.678396
1.176584 -8.557236 0.227413 5.854267 0.958852 0.123646 -0.694886
1.186713 -8.653399 0.089666 6.059588 0.884401 0.125586 -0.694401
1.196842 -8.759958 -0.128651 6.023202 0.782547 0.126071 -0.698524
1.206966 -8.843127 -0.048082 6.186940 0.671235 0.125586 -0.675001
1.217102 -9.061443 -0.006498 6.322088 0.588782 0.134317 -0.644202
1.227230 -9.235577 -0.094864 6.129762 0.510451 0.147655 -0.622376
1.237374 -9.095230 -0.349567 6.007608 0.448611 0.151292 -0.592790
1.247510 -9.017260 -0.534096 5.565777 0.375130 0.190579 -0.549380
1.257656 -8.843127 -0.723824 5.428029 0.322020 0.243446 -0.497483
1.267787 -8.292137 -0.939542 5.331866 0.271821 0.239809 -0.442676
1.277916 -8.094612 -0.845977 5.235703 0.219924 0.217498 -0.399994
1.288039 -7.871097 -1.053898 5.001792 0.176757 0.158568 -0.383018
1.298161 -7.949068 -1.139665 4.890035 0.168027 0.099395 -0.351007
1.308282 -7.985454 -1.059096 4.734094 0.170937 0.053318 -0.328939
1.318411 -8.237558 -0.814789 4.731495 0.172392 0.027612 -0.284317
1.328537 -8.284340 -0.679641 4.825059 0.176757 -0.046596 -0.267341
1.338660 -8.536444 -0.752413 4.897832 0.160266 -0.125897 -0.250365
1.348796 -8.694983 -1.030507 4.916025 0.163176 -0.180461 -0.267826
1.358938 -9.269364 -1.217636 5.038178 0.130922 -0.140932 -0.285287
1.369071 -9.511072 -1.355383 5.012188 0.102064 -0.090733 -0.309295
1.379210 -9.713795 -1.610086 4.788673 0.091393 -0.050234 -0.353190
1.389376 -9.825552 -1.828403 4.965406 0.105701 -0.012159 -0.384231
1.399517 -9.960700 -1.643873 4.981000 0.139895 0.046528 -0.385686
1.409649 -9.960700 -1.643873 5.025183 0.176029 0.097455 -0.388596
1.419789 -9.958101 -1.708848 4.731495 0.211436 0.133832 -0.393204
1.429926 -9.838547 -1.940160 4.650926 0.271093 0.148382 -0.385201
1.440099 -9.602037 -1.823205 4.658723 0.330508 0.170693 -0.370650
1.450237 -9.360329 -1.747833 4.552164 0.363247 0.180151 -0.365558
1.460363 -9.188795 -1.451546 4.637931 0.407384 0.171663 -0.346642
1.470486 -8.910701 -1.519121 4.734094 0.443275 0.134559 -0.362163
1.480608 -8.939290 -1.599690 4.812064 0.482562 0.095030 -0.373803
1.490732 -8.827533 -1.864789 4.869243 0.506328 0.055016 -0.415757
1.500854 -8.791146 -1.773823 5.227906 0.517726 0.055016 -0.432733
1.510979 -8.863919 -2.023328 5.131742 0.509481 0.048953 -0.464744
1.521104 -8.832731 -2.075308 5.305876 0.505358 0.037070 -0.476627
