# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
0.851620 0.131250 9.781369 1.984343 -0.334658 -0.544578 -0.010146
0.861678 0.500309 9.625428 1.849195 -0.350421 -0.561796 -0.030031
0.871805 1.150061 9.555255 2.353402 -0.347996 -0.624364 -0.067621
0.881965 1.272215 9.487681 2.665283 -0.317197 -0.734463 -0.111757
0.892076 1.394368 9.630626 2.745853 -0.237897 -0.875119 -0.139161
0.902186 0.882363 9.448696 2.493749 -0.267483 -0.930411 -0.151287
0.912300 0.773205 10.004883 2.366397 -0.195700 -0.986189 -0.193483
0.922414 0.427537 9.765775 2.075308 -0.151320 -1.024505 -0.229860
0.932582 -0.165037 9.744983 2.267635 -0.160293 -0.990554 -0.226465
0.942713 -0.713428 9.375923 2.574318 -0.147440 -0.875362 -0.239560
0.952844 -0.877165 9.599438 2.522338 -0.159081 -0.697602 -0.222099
0.962973 -0.378156 9.851542 2.428774 -0.147925 -0.587017 -0.201244
0.973115 0.029889 9.399314 1.916769 -0.142833 -0.534150 -0.201971
0.983245 0.074072 9.542260 2.200061 -0.159808 -0.505776 -0.174567
0.993364 0.024691 9.438300 2.368996 -0.141620 -0.530270 -0.154924
1.003513 -0.035087 9.352532 2.137685 -0.129252 -0.539243 -0.127036
1.013628 0.084468 9.552656 2.296224 -0.138225 -0.545305 -0.108847
1.023830 0.414542 9.479884 2.888798 -0.109851 -0.540698 -0.097207
1.033967 0.531497 9.464290 2.919986 -0.079780 -0.544335 -0.079261
1.044119 0.024691 9.420107 2.589912 -0.055772 -0.558643 -0.071258
1.054257 -0.586076 9.534463 2.348204 -0.048011 -0.529542 -0.029061
1.064457 -0.567883 9.495478 2.446967 -0.067897 -0.434963 0.017500
1.074593 -0.534096 9.459092 2.418377 -0.071050 -0.363180 0.047814
1.084723 -0.331374 9.534463 2.252041 -0.102091 -0.289457 0.084918
1.094857 0.352166 9.466889 2.587313 -0.093603 -0.295035 0.103107
1.104984 0.614666 9.482483 2.615902 -0.078810 -0.340627 0.106987
1.115104 0.463923 9.378522 2.436571 -0.066927 -0.410470 0.109169
1.125234 0.136448 9.578646 2.522338 -0.064259 -0.416290 0.147728
1.135369 0.128651 9.453894 2.634095 -0.063047 -0.419685 0.157186
1.145497 0.003899 9.456493 2.530135 -0.055772 -0.384521 0.175617
1.155619 0.253403 9.469488 2.444368 -0.054074 -0.367303 0.174405
1.165749 0.318379 9.620230 2.563922 -0.061349 -0.351297 0.207143
1.175873 0.536695 9.531864 2.420976 -0.055772 -0.371911 0.211994
1.186005 0.383354 9.602037 2.600308 -0.049224 -0.379671 0.228969
1.196149 0.024691 9.656616 2.519739 -0.051649 -0.344507 0.244490
1.206298 0.292388 9.661814 2.563922 -0.041706 -0.317831 0.260981
1.216429 0.206621 9.534463 2.701669 -0.041706 -0.288245 0.277471
1.226585 0.294987 9.620230 2.548328 -0.041463 -0.276847 0.304875
1.236713 0.167636 9.526666 2.423575 -0.048254 -0.255991 0.326701
1.246845 0.279393 9.638423 2.405382 -0.066442 -0.204094 0.357742
1.256974 0.331374 9.822953 2.296224 -0.083175 -0.162139 0.379811
1.267101 0.110458 9.763176 2.054516 -0.113246 -0.104907 0.379326
1.277228 0.469121 9.635824 2.002536 -0.133617 -0.066348 0.381266
1.287354 0.716027 9.591641 2.083105 -0.137255 -0.050585 0.349739
1.297479 0.895358 9.939908 2.252041 -0.129980 -0.018088 0.331551
1.307603 0.955136 10.072458 2.036323 -0.119067 0.010528 0.277714
1.317727 1.261819 10.067260 1.862190 -0.076385 0.016348 0.206173
1.327853 1.529517 9.874933 1.984343 -0.037341 -0.014208 0.127115
1.337988 1.662066 9.939908 2.124690 -0.021335 -0.043067 0.050239
1.348148 1.495729 10.342755 1.999937 0.033957 -0.085991 -0.019604
1.358292 1.355383 10.433720 1.745234 0.063543 -0.090841 -0.089446
1.368422 1.186447 10.584462 1.610086 0.115198 -0.121640 -0.132128
1.378556 1.303403 10.805378 1.215037 0.173886 -0.136918 -0.158077
1.388688 1.365779 11.182234 0.656250 0.234756 -0.318316 -0.185480
1.398816 1.454145 11.738422 -1.547710 0.420761 -0.655405 -0.262114
1.408938 1.950556 12.019115 -4.123327 0.758820 -1.080283 -0.410045
1.419083 2.881001 10.737804 -2.777041 0.801987 -1.773134 -0.581984
1.429213 3.782857 10.950923 -2.158477 0.830603 -2.521520 -0.734766
1.439342 4.305258 10.836566 -1.339789 0.943128 -3.197153 -0.824980
1.449482 4.585951 10.210205 -0.874566 1.065838 -4.092985 -0.891670
1.459608 3.463179 9.817755 0.024691 1.096151 -4.938133 -0.960543
1.469733 1.984343 9.027656 1.482734 1.069960 -5.820385 -1.102169
1.479857 0.612067 8.856122 2.696471 0.980232 -6.519056 -1.202325
1.490035 0.414542 9.040651 3.686694 0.931245 -6.927201 -1.270713
1.500178 0.991522 8.983473 4.502782 0.917421 -7.228398 -1.344921
1.510307 1.542512 8.874315 4.614540 0.908934 -7.441807 -1.408701
1.520457 1.508724 9.373324 4.138921 1.015638 -7.589253 -1.453081
1.530594 0.474319 8.889909 3.795852 1.121130 -7.737912 -1.468116
1.540721 -1.254022 8.515652 3.728278 1.124040 -7.752463 -1.543294
1.550847 -2.901793 8.214167 4.396223 1.040859 -7.431379 -1.617260
1.560975 -4.016768 8.562434 4.570357 0.967136 -6.878941 -1.647574
1.571102 -4.300060 8.523449 4.726297 0.870375 -6.209856 -1.636661
1.581222 -3.853030 8.541642 4.149317 0.728506 -5.360586 -1.584036
1.591370 -2.379392 8.416889 3.912807 0.623499 -4.656579 -1.538929
1.601502 -1.797214 8.203771 3.954392 0.534498 -4.263470 -1.497945
1.611713 -2.345605 7.995850 3.348823 0.346310 -3.873999 -1.448230
1.621864 -2.696471 8.414290 3.603525 0.199834 -3.497138 -1.415492
1.631997 -2.610704 8.575429 2.948575 0.098465 -3.103302 -1.393181
1.642158 -2.678278 9.035453 2.228650 -0.011150 -2.714073 -1.337161
1.652289 -2.628897 9.061443 1.602289 0.012859 -2.294531 -1.267560
1.662423 -2.194863 9.030255 0.981126 -0.002662 -1.894389 -1.161099
1.672552 -1.495729 8.965280 1.027908 -0.021578 -1.568940 -1.065550
1.682704 -0.981126 8.954884 1.111076 -0.040493 -1.278656 -0.939687
1.692839 -0.926547 8.801543 0.791398 -0.049951 -1.061124 -0.825465
1.702970 -1.204640 8.635206 0.921349 -0.103303 -0.826859 -0.694267
1.713101 -1.402165 8.396097 1.176051 -0.184302 -0.531482 -0.589260
1.723230 -1.334591 8.377904 1.157858 -0.275971 -0.149529 -0.459759
1.733362 -0.960334 8.247954 1.137066 -0.353816 0.276319 -0.321771
1.743491 -0.341770 8.073820 1.007116 -0.416384 0.651967 -0.164625
1.753624 1.150061 8.037434 0.692636 -0.479679 0.976688 -0.021059
1.763757 2.587313 6.958845 2.673080 -0.659137 1.236901 0.194775
1.773894 3.481372 9.898324 -1.820605 -0.591719 1.390895 0.563876
1.784045 4.404020 7.756741 -1.033106 -0.434330 2.039125 1.027798
1.794183 0.814789 8.167384 -1.170853 -0.723159 1.735017 1.170151
1.804324 -1.979145 10.982111 -1.932363 -0.648951 1.396958 1.093760
1.814456 -4.118129 12.694857 -1.737437 -0.542247 0.902722 0.802021
1.824582 -3.694491 11.780006 -1.602289 -0.249295 0.427645 0.538897
1.834715 0.222215 10.334958 -0.742017 -0.278638 0.341554 0.492820
